signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477892949904672,ATTRIB,1477892949.9055583,1477892950.7019787,0.7964203357696533,"Node3C,Node4C,Node2C,Node1C",,"Node4C,Node3C,Node1C,Node2C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477892949906093,ATTRIB,1477892949.9065053,1477892950.7027636,0.7962582111358643,"Node4C,Node2C,Node3C,Node1C",,"Node4C,Node3C,Node1C,Node2C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477892949906946,ATTRIB,1477892949.9073386,1477892950.7032278,0.795889139175415,"Node4C,Node2C,Node3C,Node1C",,"Node4C,Node3C,Node2C,Node1C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477892949907795,ATTRIB,1477892949.9081826,1477892950.7036836,0.7955009937286377,"Node4C,Node2C,Node3C,Node1C",,"Node4C,Node3C,Node2C,Node1C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477892949908664,ATTRIB,1477892949.9090338,1477892950.7041297,0.7950959205627441,"Node4C,Node2C,Node3C,Node1C",,"Node4C,Node3C,Node2C,Node1C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477892950704701,ATTRIB,1477892950.7049904,1477892951.4939442,0.7889537811279297,"Node3C,Node4C,Node2C,Node1C",,"Node4C,Node2C,Node3C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477892950705397,ATTRIB,1477892950.705753,1477892951.49487,0.7891168594360352,"Node3C,Node4C,Node2C,Node1C",,"Node4C,Node2C,Node3C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477892950706129,ATTRIB,1477892950.706458,1477892951.4958858,0.7894277572631836,"Node4C,Node2C,Node3C,Node1C",,"Node4C,Node2C,Node3C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477892950706814,ATTRIB,1477892950.7071385,1477892951.749099,1.0419604778289795,"Node3C,Node4C,Node2C,Node1C",,"Node4C,Node1C,Node3C,Node2C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477892950707513,ATTRIB,1477892950.7077794,1477892951.7502575,1.042478084564209,"Node3C,Node4C,Node2C,Node1C",,"Node4C,Node1C,Node3C,Node2C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477892951751307,ATTRIB,1477892951.7518308,1477892952.51751,0.765679121017456,"Node3C,Node4C,Node2C,Node1C",,"Node1C,Node2C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477892951752377,ATTRIB,1477892951.7527785,1477892952.5185978,0.7658193111419678,"Node3C,Node4C,Node2C,Node1C",,"Node1C,Node2C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477892951753246,ATTRIB,1477892951.7568707,1477892952.5194392,0.762568473815918,"Node3C,Node4C,Node2C,Node1C",,"Node1C,Node2C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477892951757429,ATTRIB,1477892951.7579331,1477892952.7734308,1.0154976844787598,"Node3C,Node4C,Node2C,Node1C",,"Node4C,Node1C,Node3C,Node2C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477892951758369,ATTRIB,1477892951.7586896,1477892952.775135,1.0164453983306885,"Node3C,Node4C,Node2C,Node1C",,"Node4C,Node1C,Node3C,Node2C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477892952776675,ATTRIB,1477892952.7771258,1477892953.5907829,0.8136570453643799,"Node4C,Node2C,Node3C,Node1C",,"Node4C,Node1C,Node3C,Node2C"
