signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478191823394930,ATTRIB,1478191823.3966918,1478191826.2065666,2.8098747730255127,"Node5C,Node1C,Node3C,Node4C,Node2C,Node7C,Node6C",,"Node7C,Node1C,Node5C,Node6C,Node2C"
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478191824107168,ATTRIB,1478191824.1089272,1478191826.6987581,2.5898308753967285,"Node1C,Node4C,Node7C,Node2C,Node3C,Node6C,Node5C",,"Node6C,Node7C,Node1C,Node2C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478191823445792,ATTRIB,1478191823.4463196,1478191826.7019126,3.2555930614471436,"Node7C,Node2C,Node3C,Node5C,Node4C,Node1C,Node6C",,"Node2C,Node1C,Node7C,Node6C"
Client5,2gaXnji1k7e3pHhCdVTtKv3TcHfxJiU1v3WaNqYVgC5u,1478191822999442,ATTRIB,1478191823.0001101,1478191826.705291,3.7051808834075928,"Node6C,Node2C,Node7C,Node5C,Node1C,Node4C,Node3C",,"Node2C,Node1C,Node6C,Node7C"
Client3,8B5QxS2eyKdbFJZCpGZRDs46V5QZrbTaJLQCAq48mCAC,1478191823017588,ATTRIB,1478191823.0184007,1478191826.7269757,3.7085750102996826,"Node1C,Node4C,Node7C,Node6C,Node2C,Node3C,Node5C",,"Node3C,Node5C,Node1C,Node6C,Node4C,Node7C,Node2C"
Client7,CtK1fBYzZ6S6XMJhq7Uxf9Qj9AD9qUTUkReGxpZfKFW7,1478191823704003,ATTRIB,1478191823.704562,1478191827.0697193,3.36515736579895,"Node1C,Node3C,Node2C,Node5C,Node7C,Node4C,Node6C",,"Node7C,Node3C,Node6C,Node2C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478191826208690,ATTRIB,1478191826.2089944,1478191828.6040215,2.3950271606445312,"Node5C,Node1C,Node3C,Node4C,Node2C,Node7C,Node6C",,"Node5C,Node2C,Node7C,Node1C,Node6C,Node3C,Node4C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478191826702606,ATTRIB,1478191826.7030919,1478191829.0310605,2.3279685974121094,"Node7C,Node2C,Node3C,Node5C,Node4C,Node1C,Node6C",,"Node2C,Node1C,Node7C,Node6C,Node3C"
Client5,2gaXnji1k7e3pHhCdVTtKv3TcHfxJiU1v3WaNqYVgC5u,1478191826706020,ATTRIB,1478191826.7063746,1478191829.048946,2.342571258544922,"Node6C,Node2C,Node7C,Node5C,Node1C,Node4C,Node3C",,"Node2C,Node1C,Node6C,Node7C,Node3C"
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478191826699521,ATTRIB,1478191826.6999903,1478191829.0974033,2.3974130153656006,"Node7C,Node1C,Node4C,Node2C,Node3C,Node6C,Node5C",,"Node7C,Node3C,Node5C,Node6C,Node4C,Node1C,Node2C"
Client3,8B5QxS2eyKdbFJZCpGZRDs46V5QZrbTaJLQCAq48mCAC,1478191826728067,ATTRIB,1478191826.728638,1478191829.1060038,2.377365827560425,"Node1C,Node4C,Node7C,Node6C,Node2C,Node3C,Node5C",,"Node3C,Node5C,Node1C,Node6C,Node4C,Node7C,Node2C"
Client7,CtK1fBYzZ6S6XMJhq7Uxf9Qj9AD9qUTUkReGxpZfKFW7,1478191827071514,ATTRIB,1478191827.0718927,1478191829.447327,2.375434160232544,"Node1C,Node3C,Node2C,Node5C,Node7C,Node4C,Node6C",,"Node1C,Node3C,Node4C,Node2C,Node5C,Node7C,Node6C"
