signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477892409358158,ATTRIB,1477892409.3590412,1477892409.9071105,0.5480692386627197,"Node2C,Node4C,Node1C,Node3C",,"Node2C,Node4C,Node1C,Node3C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477892409359596,ATTRIB,1477892409.3600097,1477892410.1615822,0.8015725612640381,"Node2C,Node1C,Node3C,Node4C",,"Node2C,Node4C,Node1C,Node3C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477892409360528,ATTRIB,1477892409.3610294,1477892410.1654885,0.8044590950012207,"Node2C,Node4C,Node1C,Node3C",,"Node2C,Node4C,Node1C,Node3C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477892409361517,ATTRIB,1477892409.3619463,1477892410.1663296,0.8043832778930664,"Node2C,Node4C,Node1C,Node3C",,"Node2C,Node4C,Node1C,Node3C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477892409362469,ATTRIB,1477892409.3629174,1477892410.1671004,0.8041830062866211,"Node2C,Node4C,Node1C,Node3C",,"Node2C,Node4C,Node1C,Node3C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477892410173228,ATTRIB,1477892410.1737502,1477892410.9866729,0.8129227161407471,"Node2C,Node1C,Node3C,Node4C",,"Node2C,Node1C,Node4C,Node3C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477892410174206,ATTRIB,1477892410.1745617,1477892410.9877806,0.8132188320159912,"Node2C,Node1C,Node3C,Node4C",,"Node2C,Node1C,Node4C,Node3C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477892410174943,ATTRIB,1477892410.1786602,1477892410.988659,0.8099987506866455,"Node2C,Node4C,Node1C,Node3C",,"Node2C,Node1C,Node4C,Node3C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477892410179223,ATTRIB,1477892410.1796546,1477892410.9894843,0.8098297119140625,"Node2C,Node1C,Node3C,Node4C",,"Node2C,Node1C,Node4C,Node3C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477892410180058,ATTRIB,1477892410.180394,1477892410.9902754,0.8098814487457275,"Node2C,Node1C,Node3C,Node4C",,"Node2C,Node1C,Node4C,Node3C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477892410991447,ATTRIB,1477892410.992063,1477892411.566019,0.5739560127258301,"Node2C,Node4C,Node1C,Node3C",,"Node2C,Node1C,Node3C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477892410992595,ATTRIB,1477892410.993101,1477892411.8414695,0.8483686447143555,"Node2C,Node4C,Node1C,Node3C",,"Node2C,Node1C,Node4C,Node3C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477892410993652,ATTRIB,1477892410.9941604,1477892411.8425455,0.8483850955963135,"Node2C,Node4C,Node1C,Node3C",,"Node2C,Node1C,Node4C,Node3C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477892410994641,ATTRIB,1477892410.9951906,1477892411.8434062,0.8482155799865723,"Node2C,Node4C,Node1C,Node3C",,"Node2C,Node1C,Node4C,Node3C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477892410995767,ATTRIB,1477892410.9963198,1477892411.8441432,0.8478233814239502,"Node2C,Node4C,Node1C,Node3C",,"Node2C,Node1C,Node4C,Node3C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477892411844943,ATTRIB,1477892411.8454673,1477892412.7632415,0.9177742004394531,"Node2C,Node1C,Node4C,Node3C",,"Node2C,Node1C,Node4C,Node3C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477892411845920,ATTRIB,1477892411.8462987,1477892412.765918,0.9196193218231201,"Node2C,Node1C,Node4C,Node3C",,"Node2C,Node1C,Node4C,Node3C"
