signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478190117511307,ATTRIB,1478190117.5121622,1478190120.5394087,3.0272464752197266,"Node3C,Node5C,Node4C,Node7C,Node6C,Node1C,Node2C",,"Node3C,Node7C,Node5C,Node4C,Node2C,Node6C,Node1C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478190117767614,ATTRIB,1478190117.7686017,1478190121.065212,3.2966103553771973,"Node6C,Node1C,Node7C,Node4C,Node2C,Node5C,Node3C",,"Node7C,Node4C,Node6C,Node5C,Node3C,Node1C,Node2C"
Client1,4SKVLyRVzCJyGidzGsWuTQzR2qzcXumcHcVFqqhRLdEt,1478190117825012,ATTRIB,1478190117.82624,1478190121.1107106,3.284470558166504,"Node2C,Node1C,Node5C,Node6C,Node7C,Node4C,Node3C",,"Node2C,Node1C,Node5C,Node6C,Node7C,Node3C,Node4C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478190117856207,ATTRIB,1478190117.8575647,1478190121.1496959,3.292131185531616,"Node3C,Node1C,Node7C,Node6C,Node5C,Node4C,Node2C",,"Node4C,Node3C,Node1C,Node7C,Node6C,Node2C,Node5C"
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478190120541576,ATTRIB,1478190120.5420337,1478190123.3134599,2.771426200866699,"Node3C,Node5C,Node4C,Node2C,Node7C,Node6C,Node1C",,"Node3C,Node7C,Node5C,Node6C,Node2C,Node4C,Node1C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478190121065994,ATTRIB,1478190121.066435,1478190123.5859444,2.5195093154907227,"Node6C,Node1C,Node7C,Node4C,Node2C,Node5C,Node3C",,"Node3C,Node7C,Node4C,Node6C,Node5C"
Client1,4SKVLyRVzCJyGidzGsWuTQzR2qzcXumcHcVFqqhRLdEt,1478190121111618,ATTRIB,1478190121.1120255,1478190123.6278682,2.5158426761627197,"Node1C,Node2C,Node5C,Node6C,Node7C,Node4C,Node3C",,"Node1C,Node5C,Node7C,Node3C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478190121150827,ATTRIB,1478190121.151413,1478190123.6685464,2.5171334743499756,"Node3C,Node1C,Node7C,Node6C,Node5C,Node4C,Node2C",,"Node3C,Node1C,Node7C,Node5C,Node2C,Node6C"
