signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477900049117052,ATTRIB,1477900049.1176443,1477900050.127319,1.0096747875213623,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477900049118018,ATTRIB,1477900049.1182895,1477900050.1283228,1.010033369064331,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477900049118578,ATTRIB,1477900049.1188323,1477900050.129069,1.0102367401123047,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node2C,Node3C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477900049119159,ATTRIB,1477900049.119588,1477900050.3809488,1.2613608837127686,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477900049120028,ATTRIB,1477900049.1204438,1477900050.3823693,1.261925458908081,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477900050384000,ATTRIB,1477900050.38489,1477900051.397294,1.012403964996338,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477900050385779,ATTRIB,1477900050.3865418,1477900051.3980916,1.011549711227417,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477900050387356,ATTRIB,1477900050.387679,1477900051.3988569,1.0111777782440186,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477900050387979,ATTRIB,1477900050.3882396,1477900051.3996081,1.0113685131072998,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477900050388522,ATTRIB,1477900050.3887763,1477900051.4023511,1.0135748386383057,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477900051403062,ATTRIB,1477900051.4033701,1477900052.1744056,0.7710354328155518,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node3C,Node2C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477900051403672,ATTRIB,1477900051.4039006,1477900052.4272974,1.0233967304229736,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477900051404178,ATTRIB,1477900051.4043927,1477900052.4281294,1.0237367153167725,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477900051404650,ATTRIB,1477900051.4048991,1477900052.4288774,1.0239782333374023,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477900051405140,ATTRIB,1477900051.4053416,1477900052.4296057,1.0242640972137451,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477900052430472,ATTRIB,1477900052.4309058,1477900053.4888425,1.057936668395996,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477900052431319,ATTRIB,1477900052.4316802,1477900053.4900677,1.0583875179290771,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477900052431998,ATTRIB,1477900052.4322298,1477900053.4914968,1.0592670440673828,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477900052432473,ATTRIB,1477900052.4326742,1477900053.4936242,1.0609500408172607,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477900052432982,ATTRIB,1477900052.4333045,1477900053.4951942,1.0618896484375,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477900053496422,ATTRIB,1477900053.4969928,1477900054.5223079,1.0253150463104248,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477900053497509,ATTRIB,1477900053.4978163,1477900054.5233495,1.0255331993103027,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477900053498120,ATTRIB,1477900053.4983754,1477900054.5250967,1.0267212390899658,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node2C,Node3C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477900053498664,ATTRIB,1477900053.4989169,1477900054.5260105,1.0270936489105225,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477900053499192,ATTRIB,1477900053.4994583,1477900054.5270083,1.0275499820709229,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477900054527953,ATTRIB,1477900054.5283759,1477900055.542857,1.0144810676574707,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node2C,Node3C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477900054528850,ATTRIB,1477900054.5291853,1477900055.5441656,1.0149803161621094,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477900054529580,ATTRIB,1477900054.529908,1477900055.5452685,1.0153605937957764,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477900054530304,ATTRIB,1477900054.5307117,1477900055.5463119,1.0156002044677734,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node2C,Node3C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477900054531497,ATTRIB,1477900054.5318797,1477900055.5473185,1.0154387950897217,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node2C,Node3C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477900055548571,ATTRIB,1477900055.5492284,1477900056.5623405,1.0131120681762695,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477900055550006,ATTRIB,1477900055.5506117,1477900056.5641503,1.0135385990142822,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477900055551264,ATTRIB,1477900055.5517695,1477900056.565315,1.0135455131530762,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node3C,Node2C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477900055552249,ATTRIB,1477900055.5526342,1477900056.5663936,1.0137593746185303,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477900055553101,ATTRIB,1477900055.5534651,1477900056.5674639,1.0139987468719482,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477900056568253,ATTRIB,1477900056.5686016,1477900057.6063445,1.0377428531646729,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477900056568951,ATTRIB,1477900056.5692708,1477900057.6073825,1.038111686706543,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477900056569584,ATTRIB,1477900056.5698457,1477900057.6083825,1.038536787033081,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477900056570168,ATTRIB,1477900056.5704303,1477900057.609109,1.0386786460876465,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477900056570725,ATTRIB,1477900056.5710049,1477900057.609863,1.03885817527771,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477900057610706,ATTRIB,1477900057.6111264,1477900058.623507,1.012380599975586,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477900057611622,ATTRIB,1477900057.6119316,1477900058.6249855,1.0130538940429688,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477900057612498,ATTRIB,1477900057.6127412,1477900058.626116,1.0133748054504395,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477900057612993,ATTRIB,1477900057.6132033,1477900058.6270518,1.0138485431671143,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477900057613441,ATTRIB,1477900057.6136398,1477900058.6283584,1.0147185325622559,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477900058629330,ATTRIB,1477900058.629776,1477900059.7392416,1.1094655990600586,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node2C,Node3C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477900058630186,ATTRIB,1477900058.630533,1477900059.740406,1.1098730564117432,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node3C,Node2C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477900058630896,ATTRIB,1477900058.6312153,1477900059.7414367,1.1102213859558105,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node3C,Node2C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477900058631602,ATTRIB,1477900058.6319227,1477900059.7424264,1.1105036735534668,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477900058632277,ATTRIB,1477900058.6325896,1477900059.9950035,1.3624138832092285,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node2C,Node3C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477900059996185,ATTRIB,1477900059.9966934,1477900060.7769547,0.7802612781524658,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node3C,Node2C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477900059997430,ATTRIB,1477900059.998089,1477900061.0323799,1.0342907905578613,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477900059998821,ATTRIB,1477900059.9995368,1477900061.033308,1.033771276473999,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477900060000239,ATTRIB,1477900060.0008771,1477900061.0341332,1.0332560539245605,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node2C,Node3C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477900060001578,ATTRIB,1477900060.0020237,1477900061.0349581,1.0329344272613525,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node2C,Node3C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477900061035733,ATTRIB,1477900061.0361388,1477900062.04893,1.0127911567687988,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node3C,Node2C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477900061036546,ATTRIB,1477900061.0368714,1477900062.0499053,1.0130338668823242,"Node1C,Node3C,Node4C,Node2C",,"Node1C,Node4C,Node3C,Node2C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477900061037234,ATTRIB,1477900061.0375633,1477900062.0507576,1.0131943225860596,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477900061037919,ATTRIB,1477900061.0382369,1477900062.051551,1.0133142471313477,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477900061038598,ATTRIB,1477900061.0389128,1477900062.0522795,1.01336669921875,"Node1C,Node2C,Node4C,Node3C",,"Node1C,Node4C,Node2C,Node3C"
