signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Client10,7VGuVrjr4GA3WpTwSYpNpCfUA7TwDbKCKRuvvTGMpG7x,1478191215532539,ATTRIB,1478191215.533395,1478191217.7155528,2.1821577548980713,"Node4C,Node3C,Node5C,Node2C,Node6C,Node1C,Node7C",,"Node4C,Node3C,Node7C,Node2C,Node6C,Node5C,Node1C"
Client6,Fyy1MPquqDrLc4LPdv2F3UHJEyFddkvdz67TLtHTqXL2,1478191215271634,ATTRIB,1478191215.2727528,1478191218.248492,2.9757392406463623,"Node2C,Node3C,Node5C,Node6C,Node7C,Node1C,Node4C",,"Node1C,Node4C,Node5C,Node6C,Node7C,Node2C,Node3C"
Client7,CtK1fBYzZ6S6XMJhq7Uxf9Qj9AD9qUTUkReGxpZfKFW7,1478191215065440,ATTRIB,1478191215.0703807,1478191218.3499157,3.2795350551605225,"Node7C,Node2C,Node1C,Node4C,Node3C,Node5C,Node6C",,"Node6C,Node1C,Node7C,Node4C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478191215782901,ATTRIB,1478191215.7837627,1478191219.2666662,3.482903480529785,"Node5C,Node7C,Node6C,Node3C,Node2C,Node4C,Node1C",,"Node5C,Node6C,Node3C,Node2C,Node1C,Node7C"
Client3,8B5QxS2eyKdbFJZCpGZRDs46V5QZrbTaJLQCAq48mCAC,1478191215706157,ATTRIB,1478191215.7067924,1478191219.2812185,3.5744261741638184,"Node3C,Node1C,Node2C,Node6C,Node7C,Node4C,Node5C",,"Node3C,Node7C,Node1C,Node5C,Node2C,Node6C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478191215797047,ATTRIB,1478191215.7980497,1478191219.9043298,4.106280088424683,"Node2C,Node6C,Node7C,Node5C,Node4C,Node1C,Node3C",,"Node5C,Node2C,Node1C,Node6C,Node3C,Node7C"
Client10,7VGuVrjr4GA3WpTwSYpNpCfUA7TwDbKCKRuvvTGMpG7x,1478191217716410,ATTRIB,1478191217.7167633,1478191220.8619215,3.145158290863037,"Node5C,Node3C,Node4C,Node2C,Node6C,Node1C,Node7C",,"Node5C,Node3C,Node7C,Node2C,Node6C,Node4C,Node1C"
Client6,Fyy1MPquqDrLc4LPdv2F3UHJEyFddkvdz67TLtHTqXL2,1478191218252145,ATTRIB,1478191218.2528954,1478191221.3330119,3.0801165103912354,"Node2C,Node3C,Node5C,Node6C,Node7C,Node1C,Node4C",,"Node2C,Node4C,Node3C,Node6C,Node7C,Node1C,Node5C"
Client7,CtK1fBYzZ6S6XMJhq7Uxf9Qj9AD9qUTUkReGxpZfKFW7,1478191218350713,ATTRIB,1478191218.351107,1478191221.3697584,3.0186514854431152,"Node7C,Node2C,Node1C,Node4C,Node3C,Node5C,Node6C",,"Node3C,Node7C,Node5C,Node6C,Node2C,Node1C,Node4C"
Client3,8B5QxS2eyKdbFJZCpGZRDs46V5QZrbTaJLQCAq48mCAC,1478191219282123,ATTRIB,1478191219.2825112,1478191222.016922,2.7344107627868652,"Node3C,Node1C,Node2C,Node6C,Node7C,Node4C,Node5C",,"Node3C,Node7C,Node1C,Node5C,Node2C,Node6C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478191219268898,ATTRIB,1478191219.269503,1478191222.0779018,2.808398723602295,"Node5C,Node7C,Node6C,Node3C,Node2C,Node4C,Node1C",,"Node5C,Node6C,Node3C,Node2C,Node4C,Node1C,Node7C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478191219905143,ATTRIB,1478191219.905518,1478191222.6701407,2.764622688293457,"Node2C,Node6C,Node7C,Node5C,Node1C,Node4C,Node3C",,"Node5C,Node2C,Node1C,Node6C,Node7C,Node3C"
