signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Client10,7VGuVrjr4GA3WpTwSYpNpCfUA7TwDbKCKRuvvTGMpG7x,1478190029926253,ATTRIB,1478190029.9274738,1478190032.954665,3.027191162109375,"Node4C,Node1C,Node2C,Node7C,Node3C,Node5C,Node6C",,"Node2C,Node6C,Node7C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478190029964110,ATTRIB,1478190029.964778,1478190033.2361257,3.271347761154175,"Node4C,Node1C,Node2C,Node5C,Node6C,Node3C,Node7C",,"Node3C,Node7C,Node2C,Node6C"
Client7,CtK1fBYzZ6S6XMJhq7Uxf9Qj9AD9qUTUkReGxpZfKFW7,1478190029977696,ATTRIB,1478190029.9801183,1478190033.2540905,3.273972272872925,"Node5C,Node3C,Node2C,Node4C,Node6C,Node7C,Node1C",,"Node6C,Node5C,Node3C,Node2C,Node7C"
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478190030034957,ATTRIB,1478190030.0365124,1478190033.3195996,3.2830872535705566,"Node3C,Node5C,Node1C,Node7C,Node4C,Node2C,Node6C",,"Node2C,Node7C,Node3C,Node4C,Node5C,Node1C,Node6C"
Client10,7VGuVrjr4GA3WpTwSYpNpCfUA7TwDbKCKRuvvTGMpG7x,1478190032955967,ATTRIB,1478190032.9564824,1478190035.7241113,2.7676289081573486,"Node4C,Node1C,Node2C,Node7C,Node3C,Node5C,Node6C",,"Node5C,Node7C,Node4C,Node3C,Node6C,Node1C,Node2C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478190033236996,ATTRIB,1478190033.2373908,1478190035.7561257,2.518734931945801,"Node4C,Node1C,Node2C,Node5C,Node6C,Node3C,Node7C",,"Node3C,Node7C,Node2C,Node6C"
Client7,CtK1fBYzZ6S6XMJhq7Uxf9Qj9AD9qUTUkReGxpZfKFW7,1478190033255005,ATTRIB,1478190033.2554286,1478190035.7780838,2.5226552486419678,"Node5C,Node3C,Node2C,Node4C,Node6C,Node7C,Node1C",,"Node6C,Node3C,Node2C,Node7C"
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478190033321775,ATTRIB,1478190033.3237076,1478190036.1030195,2.7793118953704834,"Node3C,Node1C,Node7C,Node4C,Node2C,Node6C,Node5C",,"Node2C,Node7C,Node3C,Node4C,Node5C,Node1C,Node6C"
