signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478190404718788,ATTRIB,1478190404.7200675,1478190407.2456856,2.525618076324463,"Node4C,Node1C,Node7C,Node5C,Node6C,Node3C,Node2C",,"Node4C,Node3C,Node7C,Node5C,Node1C,Node6C,Node2C"
Client5,2gaXnji1k7e3pHhCdVTtKv3TcHfxJiU1v3WaNqYVgC5u,1478190404832990,ATTRIB,1478190404.8334606,1478190407.3638003,2.5303397178649902,"Node6C,Node4C,Node2C,Node5C,Node1C,Node7C,Node3C",,"Node5C,Node1C,Node7C,Node6C,Node3C,Node4C,Node2C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478190407247015,ATTRIB,1478190407.247564,1478190410.0202954,2.772731304168701,"Node4C,Node1C,Node7C,Node5C,Node6C,Node3C,Node2C",,"Node4C,Node3C,Node1C,Node5C,Node7C,Node6C,Node2C"
Client5,2gaXnji1k7e3pHhCdVTtKv3TcHfxJiU1v3WaNqYVgC5u,1478190407364836,ATTRIB,1478190407.3653066,1478190410.422261,3.0569543838500977,"Node6C,Node4C,Node2C,Node5C,Node1C,Node7C,Node3C",,"Node5C,Node1C,Node7C,Node6C,Node3C,Node2C"
