signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Client1,4SKVLyRVzCJyGidzGsWuTQzR2qzcXumcHcVFqqhRLdEt,1478190405361876,ATTRIB,1478190405.3625922,1478190408.6410627,3.278470516204834,"Node5C,Node4C,Node6C,Node2C,Node7C,Node3C,Node1C",,"Node7C,Node3C,Node6C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478190405429970,ATTRIB,1478190405.4306028,1478190408.7020075,3.27140474319458,"Node4C,Node5C,Node3C,Node1C,Node2C,Node6C,Node7C",,"Node1C,Node4C,Node6C,Node7C,Node3C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478190408703318,ATTRIB,1478190408.7039695,1478190411.2293112,2.525341749191284,"Node4C,Node5C,Node3C,Node1C,Node2C,Node6C,Node7C",,"Node2C,Node6C,Node7C,Node3C"
Client1,4SKVLyRVzCJyGidzGsWuTQzR2qzcXumcHcVFqqhRLdEt,1478190408641952,ATTRIB,1478190408.6423063,1478190411.4123828,2.7700765132904053,"Node5C,Node4C,Node6C,Node2C,Node7C,Node3C,Node1C",,"Node2C,Node7C,Node5C,Node1C,Node3C,Node4C,Node6C"
