signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477893100895388,ATTRIB,1477893100.8963,1477893101.9201765,1.023876428604126,"Node4C,Node2C,Node3C,Node1C",,"Node2C,Node3C,Node1C,Node4C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477893100896830,ATTRIB,1477893100.897273,1477893101.9222043,1.0249311923980713,"Node2C,Node1C,Node3C,Node4C",,"Node2C,Node3C,Node1C,Node4C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477893100897718,ATTRIB,1477893100.8980782,1477893101.9238353,1.025757074356079,"Node2C,Node1C,Node3C,Node4C",,"Node2C,Node3C,Node1C,Node4C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477893100898461,ATTRIB,1477893100.8987226,1477893101.92505,1.02632737159729,"Node2C,Node1C,Node3C,Node4C",,"Node2C,Node3C,Node1C,Node4C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477893100898997,ATTRIB,1477893100.8992257,1477893101.9258149,1.0265891551971436,"Node2C,Node1C,Node3C,Node4C",,"Node2C,Node3C,Node1C,Node4C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477893101928181,ATTRIB,1477893101.9285257,1477893102.712414,0.7838883399963379,"Node4C,Node2C,Node3C,Node1C",,"Node2C,Node3C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477893101928860,ATTRIB,1477893101.9291337,1477893102.7132487,0.7841150760650635,"Node4C,Node2C,Node3C,Node1C",,"Node2C,Node3C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477893101929471,ATTRIB,1477893101.9301894,1477893102.9658785,1.035689115524292,"Node4C,Node2C,Node3C,Node1C",,"Node2C,Node3C,Node1C,Node4C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477893101930663,ATTRIB,1477893101.931123,1477893102.966995,1.035871982574463,"Node4C,Node2C,Node3C,Node1C",,"Node2C,Node3C,Node1C,Node4C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477893101933134,ATTRIB,1477893101.9336069,1477893102.9679303,1.0343234539031982,"Node4C,Node2C,Node3C,Node1C",,"Node2C,Node3C,Node1C,Node4C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477893102968816,ATTRIB,1477893102.9694362,1477893103.9914985,1.0220623016357422,"Node4C,Node2C,Node3C,Node1C",,"Node4C,Node3C,Node1C,Node2C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477893102972542,ATTRIB,1477893102.9730961,1477893103.9928842,1.0197880268096924,"Node2C,Node1C,Node3C,Node4C",,"Node4C,Node3C,Node1C,Node2C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477893102973541,ATTRIB,1477893102.9738555,1477893103.9941218,1.0202662944793701,"Node2C,Node1C,Node3C,Node4C",,"Node4C,Node3C,Node1C,Node2C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477893102974190,ATTRIB,1477893102.9744852,1477893103.9958568,1.021371603012085,"Node4C,Node2C,Node3C,Node1C",,"Node4C,Node3C,Node1C,Node2C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477893102974799,ATTRIB,1477893102.9750872,1477893103.9971273,1.0220401287078857,"Node4C,Node2C,Node3C,Node1C",,"Node4C,Node3C,Node1C,Node2C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477893103998638,ATTRIB,1477893103.9993362,1477893105.0197134,1.0203771591186523,"Node4C,Node2C,Node3C,Node1C",,"Node2C,Node3C,Node1C,Node4C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477893104001130,ATTRIB,1477893104.0017061,1477893105.2720356,1.270329475402832,"Node4C,Node2C,Node3C,Node1C",,"Node4C,Node3C,Node1C,Node2C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477893104002309,ATTRIB,1477893104.0028324,1477893105.2727184,1.2698860168457031,"Node4C,Node2C,Node3C,Node1C",,"Node4C,Node3C,Node1C,Node2C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477893104003355,ATTRIB,1477893104.0036561,1477893105.273234,1.2695777416229248,"Node4C,Node2C,Node3C,Node1C",,"Node4C,Node3C,Node1C,Node2C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477893104003972,ATTRIB,1477893104.0042567,1477893105.2739944,1.269737720489502,"Node4C,Node2C,Node3C,Node1C",,"Node4C,Node3C,Node1C,Node2C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477893105274786,ATTRIB,1477893105.275203,1477893106.3151507,1.039947748184204,"Node4C,Node2C,Node3C,Node1C",,"Node2C,Node3C,Node1C,Node4C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477893105275647,ATTRIB,1477893105.27599,1477893106.3159263,1.0399363040924072,"Node4C,Node2C,Node3C,Node1C",,"Node2C,Node3C,Node1C,Node4C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477893105276368,ATTRIB,1477893105.2766643,1477893106.3167853,1.040121078491211,"Node4C,Node2C,Node3C,Node1C",,"Node2C,Node3C,Node1C,Node4C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477893105276935,ATTRIB,1477893105.2771783,1477893106.3175488,1.0403704643249512,"Node4C,Node2C,Node3C,Node1C",,"Node2C,Node3C,Node1C,Node4C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477893105277428,ATTRIB,1477893105.2776976,1477893106.3183613,1.040663719177246,"Node4C,Node2C,Node3C,Node1C",,"Node2C,Node3C,Node1C,Node4C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477893106319110,ATTRIB,1477893106.3193874,1477893107.3286526,1.0092651844024658,"Node3C,Node2C,Node1C,Node4C",,"Node2C,Node3C,Node1C,Node4C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477893106319696,ATTRIB,1477893106.3199034,1477893107.3292491,1.0093457698822021,"Node4C,Node2C,Node3C,Node1C",,"Node2C,Node3C,Node1C,Node4C"
