signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477893451712958,ATTRIB,1477893451.7134461,1477893452.7362456,1.0227994918823242,"Node3C,Node1C,Node4C,Node2C",,"Node3C,Node4C,Node1C,Node2C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477893451713841,ATTRIB,1477893451.7141285,1477893452.7371016,1.0229730606079102,"Node3C,Node1C,Node4C,Node2C",,"Node3C,Node4C,Node1C,Node2C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477893451714374,ATTRIB,1477893451.7145946,1477893452.9959564,1.2813618183135986,"Node3C,Node1C,Node4C,Node2C",,"Node3C,Node4C,Node1C,Node2C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477893451714831,ATTRIB,1477893451.7150328,1477893452.9967275,1.2816946506500244,"Node3C,Node1C,Node4C,Node2C",,"Node3C,Node4C,Node1C,Node2C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477893451715258,ATTRIB,1477893451.7154536,1477893452.997752,1.2822983264923096,"Node3C,Node1C,Node4C,Node2C",,"Node3C,Node4C,Node1C,Node2C"
EK6VWvsoNSVwD3SaVGw68N5sA7aRbepTAwRcNMKQXdYc,1477893453002996,ATTRIB,1477893453.0037503,1477893454.0790248,1.0752744674682617,"Node3C,Node1C,Node4C,Node2C",,"Node3C,Node2C,Node1C,Node4C"
EneDQh93aEUvd4eJHBTL64kKJwF9M35CGe75M7kWnjqS,1477893453004537,ATTRIB,1477893453.00517,1477893454.0796552,1.0744850635528564,"Node3C,Node1C,Node4C,Node2C",,"Node3C,Node2C,Node1C,Node4C"
3ToDb2KkZ4qyPmFkvL5fuk1eTHu1ZQpaVvBNgbJuTRmu,1477893453008974,ATTRIB,1477893453.0093837,1477893454.0801601,1.0707764625549316,"Node3C,Node1C,Node4C,Node2C",,"Node3C,Node2C,Node1C,Node4C"
69qJ4avFHjQ9GUyfAb8jBHbShVAyTk6rMCyKKYRCjkrs,1477893453009817,ATTRIB,1477893453.0101037,1477893454.080649,1.0705451965332031,"Node3C,Node1C,Node4C,Node2C",,"Node3C,Node2C,Node1C,Node4C"
9pjAcMoeq4KqtQWGREZxygW9GD8LW1tT4X68XJagvu6G,1477893453010433,ATTRIB,1477893453.0107763,1477893454.0810916,1.0703153610229492,"Node3C,Node1C,Node4C,Node2C",,"Node3C,Node2C,Node1C,Node4C"
