signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Client3,8B5QxS2eyKdbFJZCpGZRDs46V5QZrbTaJLQCAq48mCAC,1478190648032027,ATTRIB,1478190648.032777,1478190650.0622752,2.0294981002807617,"Node6C,Node7C,Node5C,Node3C,Node2C,Node4C,Node1C",,"Node3C,Node7C,Node1C,Node2C"
Client1,4SKVLyRVzCJyGidzGsWuTQzR2qzcXumcHcVFqqhRLdEt,1478190648820870,ATTRIB,1478190648.8215387,1478190652.1394482,3.3179094791412354,"Node2C,Node4C,Node7C,Node5C,Node1C,Node6C,Node3C",,"Node4C,Node7C,Node5C,Node1C,Node6C,Node3C,Node2C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478190649037987,ATTRIB,1478190649.038702,1478190652.4270973,3.388395309448242,"Node7C,Node3C,Node1C,Node2C,Node6C,Node4C,Node5C",,"Node1C,Node2C,Node6C,Node7C,Node4C,Node3C,Node5C"
Client5,2gaXnji1k7e3pHhCdVTtKv3TcHfxJiU1v3WaNqYVgC5u,1478190648877789,ATTRIB,1478190648.878906,1478190652.4587595,3.5798535346984863,"Node5C,Node7C,Node1C,Node2C,Node3C,Node6C,Node4C",,"Node5C,Node7C,Node6C,Node2C,Node3C,Node4C,Node1C"
Client10,7VGuVrjr4GA3WpTwSYpNpCfUA7TwDbKCKRuvvTGMpG7x,1478190649225102,ATTRIB,1478190649.2259324,1478190652.4664762,3.240543842315674,"Node6C,Node3C,Node4C,Node5C,Node7C,Node2C,Node1C",,"Node2C,Node6C,Node3C,Node1C,Node4C,Node5C,Node7C"
Client3,8B5QxS2eyKdbFJZCpGZRDs46V5QZrbTaJLQCAq48mCAC,1478190650064749,ATTRIB,1478190650.0651405,1478190653.2028906,3.1377501487731934,"Node6C,Node7C,Node5C,Node3C,Node2C,Node4C,Node1C",,"Node3C,Node6C,Node7C,Node2C,Node4C,Node5C,Node1C"
Client1,4SKVLyRVzCJyGidzGsWuTQzR2qzcXumcHcVFqqhRLdEt,1478190652140328,ATTRIB,1478190652.1406991,1478190654.7136235,2.5729243755340576,"Node2C,Node4C,Node7C,Node5C,Node1C,Node6C,Node3C",,"Node7C,Node5C,Node1C,Node6C,Node3C,Node2C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478190652428031,ATTRIB,1478190652.4286656,1478190654.9533787,2.5247130393981934,"Node7C,Node3C,Node1C,Node2C,Node6C,Node4C,Node5C",,"Node1C,Node2C,Node6C,Node7C,Node3C,Node5C"
Client5,2gaXnji1k7e3pHhCdVTtKv3TcHfxJiU1v3WaNqYVgC5u,1478190652461706,ATTRIB,1478190652.462326,1478190654.982557,2.520231008529663,"Node5C,Node7C,Node1C,Node2C,Node3C,Node6C,Node4C",,"Node5C,Node7C,Node2C,Node3C,Node6C,Node1C"
Client10,7VGuVrjr4GA3WpTwSYpNpCfUA7TwDbKCKRuvvTGMpG7x,1478190652467606,ATTRIB,1478190652.4681957,1478190654.9852152,2.517019510269165,"Node6C,Node3C,Node4C,Node5C,Node7C,Node2C,Node1C",,"Node2C,Node6C,Node3C,Node1C,Node5C,Node7C"
