signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Client5,2gaXnji1k7e3pHhCdVTtKv3TcHfxJiU1v3WaNqYVgC5u,1478190029333801,ATTRIB,1478190029.3347936,1478190031.8523178,2.517524242401123,"Node4C,Node7C,Node1C,Node3C,Node6C,Node2C,Node5C",,"Node4C,Node7C,Node1C,Node3C,Node6C,Node5C,Node2C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478190029458167,ATTRIB,1478190029.4588358,1478190031.9832847,2.524448871612549,"Node4C,Node1C,Node5C,Node2C,Node3C,Node7C,Node6C",,"Node4C,Node2C,Node6C,Node7C"
Client6,Fyy1MPquqDrLc4LPdv2F3UHJEyFddkvdz67TLtHTqXL2,1478190029780588,ATTRIB,1478190029.7825801,1478190032.816118,3.0335378646850586,"Node3C,Node5C,Node2C,Node6C,Node4C,Node1C,Node7C",,"Node2C,Node6C,Node3C,Node7C,Node5C"
Client1,4SKVLyRVzCJyGidzGsWuTQzR2qzcXumcHcVFqqhRLdEt,1478190029814292,ATTRIB,1478190029.8148015,1478190033.0904403,3.2756388187408447,"Node1C,Node2C,Node7C,Node5C,Node3C,Node6C,Node4C",,"Node6C,Node2C,Node7C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478190029881868,ATTRIB,1478190029.882788,1478190033.1818888,3.299100875854492,"Node7C,Node1C,Node2C,Node5C,Node4C,Node6C,Node3C",,"Node7C,Node3C,Node2C,Node6C"
Client5,2gaXnji1k7e3pHhCdVTtKv3TcHfxJiU1v3WaNqYVgC5u,1478190031853531,ATTRIB,1478190031.8540576,1478190034.6399126,2.7858550548553467,"Node4C,Node7C,Node3C,Node1C,Node6C,Node2C,Node5C",,"Node4C,Node7C,Node1C,Node3C,Node6C,Node5C,Node2C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478190031984701,ATTRIB,1478190031.9853928,1478190034.7632778,2.7778849601745605,"Node4C,Node1C,Node2C,Node5C,Node3C,Node7C,Node6C",,"Node4C,Node3C,Node7C,Node1C,Node5C,Node6C,Node2C"
Client6,Fyy1MPquqDrLc4LPdv2F3UHJEyFddkvdz67TLtHTqXL2,1478190032818301,ATTRIB,1478190032.8189774,1478190035.5920057,2.7730283737182617,"Node3C,Node5C,Node2C,Node6C,Node4C,Node1C,Node7C",,"Node3C,Node1C,Node7C,Node5C,Node4C,Node2C,Node6C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478190033184004,ATTRIB,1478190033.184896,1478190035.7465453,2.5616493225097656,"Node7C,Node1C,Node2C,Node5C,Node4C,Node6C,Node3C",,"Node7C,Node3C,Node2C,Node6C"
Client1,4SKVLyRVzCJyGidzGsWuTQzR2qzcXumcHcVFqqhRLdEt,1478190033091548,ATTRIB,1478190033.0922701,1478190035.8668299,2.774559736251831,"Node1C,Node2C,Node7C,Node5C,Node3C,Node6C,Node4C",,"Node3C,Node6C,Node2C,Node7C"
