signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478190279171513,ATTRIB,1478190279.1723423,1478190281.4366035,2.264261245727539,"Node1C,Node2C,Node6C,Node3C,Node4C,Node7C,Node5C",,"Node7C,Node5C,Node6C,Node4C,Node2C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478190279167007,ATTRIB,1478190279.1679957,1478190281.6960554,2.528059720993042,"Node2C,Node7C,Node3C,Node5C,Node4C,Node6C,Node1C",,"Node2C,Node4C,Node7C,Node3C,Node5C,Node6C,Node1C"
Client1,4SKVLyRVzCJyGidzGsWuTQzR2qzcXumcHcVFqqhRLdEt,1478190279162785,ATTRIB,1478190279.1641014,1478190281.700465,2.5363636016845703,"Node1C,Node2C,Node6C,Node4C,Node5C,Node3C,Node7C",,"Node6C,Node1C,Node5C,Node3C,Node4C,Node7C,Node2C"
Client3,8B5QxS2eyKdbFJZCpGZRDs46V5QZrbTaJLQCAq48mCAC,1478190279254150,ATTRIB,1478190279.254837,1478190281.7721503,2.517313241958618,"Node7C,Node6C,Node1C,Node2C,Node5C,Node3C,Node4C",,"Node5C,Node1C,Node2C,Node7C,Node3C,Node6C,Node4C"
Client6,Fyy1MPquqDrLc4LPdv2F3UHJEyFddkvdz67TLtHTqXL2,1478190279358232,ATTRIB,1478190279.3594112,1478190281.9116552,2.552243947982788,"Node2C,Node6C,Node5C,Node4C,Node7C,Node1C,Node3C",,"Node2C,Node7C,Node1C,Node6C,Node4C,Node3C,Node5C"
Client7,CtK1fBYzZ6S6XMJhq7Uxf9Qj9AD9qUTUkReGxpZfKFW7,1478190279401987,ATTRIB,1478190279.403029,1478190281.9355118,2.532482862472534,"Node4C,Node1C,Node3C,Node7C,Node5C,Node2C,Node6C",,"Node7C,Node3C,Node5C,Node2C"
Client10,7VGuVrjr4GA3WpTwSYpNpCfUA7TwDbKCKRuvvTGMpG7x,1478190279409477,ATTRIB,1478190279.410239,1478190281.9487624,2.5385234355926514,"Node5C,Node3C,Node1C,Node2C,Node4C,Node7C,Node6C",,"Node3C,Node5C,Node7C,Node6C,Node2C"
Client5,2gaXnji1k7e3pHhCdVTtKv3TcHfxJiU1v3WaNqYVgC5u,1478190279370370,ATTRIB,1478190279.3711882,1478190282.1562624,2.785074234008789,"Node7C,Node1C,Node3C,Node6C,Node5C,Node2C,Node4C",,"Node7C,Node3C,Node6C,Node5C,Node2C,Node4C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478190279454050,ATTRIB,1478190279.4551852,1478190282.7542608,3.2990756034851074,"Node6C,Node3C,Node4C,Node1C,Node5C,Node2C,Node7C",,"Node7C,Node6C,Node1C,Node5C"
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478190279480432,ATTRIB,1478190279.4810965,1478190282.759099,3.2780025005340576,"Node3C,Node4C,Node7C,Node1C,Node5C,Node6C,Node2C",,"Node2C,Node7C,Node5C,Node4C,Node1C"
Client1,4SKVLyRVzCJyGidzGsWuTQzR2qzcXumcHcVFqqhRLdEt,1478190281701038,ATTRIB,1478190281.7013154,1478190284.4705365,2.769221067428589,"Node1C,Node2C,Node6C,Node5C,Node4C,Node3C,Node7C",,"Node6C,Node7C,Node5C,Node3C"
