signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478190404826913,ATTRIB,1478190404.8275054,1478190407.347832,2.520326614379883,"Node7C,Node2C,Node1C,Node6C,Node4C,Node3C,Node5C",,"Node7C,Node2C,Node1C,Node4C,Node3C,Node6C,Node5C"
Client10,7VGuVrjr4GA3WpTwSYpNpCfUA7TwDbKCKRuvvTGMpG7x,1478190405049580,ATTRIB,1478190405.0504935,1478190407.8200665,2.7695729732513428,"Node4C,Node1C,Node2C,Node6C,Node3C,Node7C,Node5C",,"Node6C,Node3C,Node7C,Node5C,Node2C"
Client6,Fyy1MPquqDrLc4LPdv2F3UHJEyFddkvdz67TLtHTqXL2,1478190405154104,ATTRIB,1478190405.1546917,1478190408.2042303,3.0495386123657227,"Node1C,Node4C,Node3C,Node5C,Node2C,Node6C,Node7C",,"Node5C,Node2C,Node6C,Node3C,Node7C"
Client3,8B5QxS2eyKdbFJZCpGZRDs46V5QZrbTaJLQCAq48mCAC,1478190405198602,ATTRIB,1478190405.1996422,1478190408.2231355,3.0234932899475098,"Node7C,Node6C,Node5C,Node3C,Node2C,Node4C,Node1C",,"Node2C,Node7C,Node3C,Node5C,Node6C,Node4C"
Client7,CtK1fBYzZ6S6XMJhq7Uxf9Qj9AD9qUTUkReGxpZfKFW7,1478190405203437,ATTRIB,1478190405.2042825,1478190408.226034,3.0217514038085938,"Node6C,Node2C,Node4C,Node3C,Node1C,Node7C,Node5C",,"Node6C,Node2C,Node4C,Node3C,Node7C,Node5C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478190405224779,ATTRIB,1478190405.2255301,1478190408.2503946,3.024864435195923,"Node6C,Node1C,Node4C,Node7C,Node3C,Node5C,Node2C",,"Node6C,Node7C,Node3C,Node4C,Node1C,Node5C,Node2C"
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478190407349076,ATTRIB,1478190407.3495662,1478190410.3694286,3.019862413406372,"Node7C,Node2C,Node1C,Node6C,Node4C,Node3C,Node5C",,"Node7C,Node3C,Node5C,Node2C,Node6C"
Client10,7VGuVrjr4GA3WpTwSYpNpCfUA7TwDbKCKRuvvTGMpG7x,1478190407821816,ATTRIB,1478190407.822626,1478190410.5919356,2.7693095207214355,"Node4C,Node1C,Node2C,Node6C,Node3C,Node7C,Node5C",,"Node6C,Node3C,Node7C,Node2C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478190408251537,ATTRIB,1478190408.2520707,1478190411.0238957,2.771825075149536,"Node6C,Node1C,Node4C,Node7C,Node3C,Node5C,Node2C",,"Node7C,Node3C,Node6C"
Client6,Fyy1MPquqDrLc4LPdv2F3UHJEyFddkvdz67TLtHTqXL2,1478190408214531,ATTRIB,1478190408.2150543,1478190411.2370377,3.0219833850860596,"Node1C,Node4C,Node3C,Node5C,Node2C,Node6C,Node7C",,"Node4C,Node5C,Node1C,Node2C,Node6C,Node3C,Node7C"
Client7,CtK1fBYzZ6S6XMJhq7Uxf9Qj9AD9qUTUkReGxpZfKFW7,1478190408227321,ATTRIB,1478190408.228139,1478190411.2525778,3.0244388580322266,"Node6C,Node2C,Node4C,Node3C,Node1C,Node7C,Node5C",,"Node2C,Node6C,Node4C,Node1C,Node3C,Node7C,Node5C"
Client3,8B5QxS2eyKdbFJZCpGZRDs46V5QZrbTaJLQCAq48mCAC,1478190408224119,ATTRIB,1478190408.2247317,1478190411.2576556,3.032923936843872,"Node7C,Node5C,Node6C,Node3C,Node2C,Node4C,Node1C",,"Node3C,Node7C,Node2C,Node6C,Node5C,Node1C,Node4C"
