signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Client6,Fyy1MPquqDrLc4LPdv2F3UHJEyFddkvdz67TLtHTqXL2,1478190482776995,ATTRIB,1478190482.7778475,1478190486.6058881,3.828040599822998,"Node1C,Node2C,Node6C,Node7C,Node3C,Node4C,Node5C",,"Node6C,Node7C,Node3C,Node2C,Node1C,Node4C,Node5C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478190483037976,ATTRIB,1478190483.0387387,1478190486.8053718,3.7666330337524414,"Node5C,Node3C,Node2C,Node6C,Node7C,Node4C,Node1C",,"Node4C,Node5C,Node3C,Node1C,Node2C,Node6C,Node7C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478190483096895,ATTRIB,1478190483.0975459,1478190486.8143547,3.716808795928955,"Node7C,Node3C,Node6C,Node5C,Node1C,Node2C,Node4C",,"Node7C,Node3C,Node6C,Node5C,Node1C,Node2C,Node4C"
Client5,2gaXnji1k7e3pHhCdVTtKv3TcHfxJiU1v3WaNqYVgC5u,1478190483439403,ATTRIB,1478190483.4401472,1478190486.8197672,3.37962007522583,"Node7C,Node2C,Node4C,Node1C,Node6C,Node5C,Node3C",,"Node7C,Node6C,Node2C,Node5C,Node3C,Node4C,Node1C"
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478190483136745,ATTRIB,1478190483.1392615,1478190486.8957968,3.756535291671753,"Node7C,Node4C,Node5C,Node6C,Node1C,Node2C,Node3C",,"Node2C,Node6C,Node1C,Node7C,Node4C,Node5C,Node3C"
Client3,8B5QxS2eyKdbFJZCpGZRDs46V5QZrbTaJLQCAq48mCAC,1478190483220218,ATTRIB,1478190483.2208364,1478190486.9000394,3.6792030334472656,"Node1C,Node2C,Node7C,Node4C,Node5C,Node6C,Node3C",,"Node1C,Node5C,Node7C,Node6C,Node4C,Node2C,Node3C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478190483474136,ATTRIB,1478190483.4749365,1478190486.9560857,3.481149196624756,"Node1C,Node2C,Node6C,Node3C,Node4C,Node5C,Node7C",,"Node1C,Node2C,Node5C,Node7C,Node6C,Node3C,Node4C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478190486806136,ATTRIB,1478190486.8065093,1478190489.1519523,2.3454430103302,"Node5C,Node3C,Node2C,Node6C,Node7C,Node4C,Node1C",,"Node6C,Node5C,Node7C,Node2C"
Client6,Fyy1MPquqDrLc4LPdv2F3UHJEyFddkvdz67TLtHTqXL2,1478190486606725,ATTRIB,1478190486.6080625,1478190489.1919966,2.5839340686798096,"Node1C,Node2C,Node6C,Node3C,Node7C,Node4C,Node5C",,"Node2C,Node7C,Node3C,Node6C,Node1C,Node5C"
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478190486897023,ATTRIB,1478190486.8975832,1478190489.4942927,2.5967094898223877,"Node7C,Node4C,Node5C,Node6C,Node1C,Node2C,Node3C",,"Node2C,Node3C,Node7C,Node6C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478190486956968,ATTRIB,1478190486.9572785,1478190489.4977193,2.540440797805786,"Node1C,Node2C,Node6C,Node3C,Node4C,Node5C,Node7C",,"Node6C,Node2C,Node3C,Node7C"
Client3,8B5QxS2eyKdbFJZCpGZRDs46V5QZrbTaJLQCAq48mCAC,1478190486900823,ATTRIB,1478190486.9012187,1478190489.5002444,2.5990257263183594,"Node1C,Node2C,Node7C,Node4C,Node5C,Node6C,Node3C",,"Node7C,Node6C,Node2C,Node3C"
Client5,2gaXnji1k7e3pHhCdVTtKv3TcHfxJiU1v3WaNqYVgC5u,1478190486820494,ATTRIB,1478190486.820838,1478190489.693841,2.8730030059814453,"Node7C,Node2C,Node4C,Node1C,Node6C,Node5C,Node3C",,"Node7C,Node6C,Node2C,Node5C,Node3C,Node4C,Node1C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478190486815110,ATTRIB,1478190486.8154914,1478190489.6950982,2.8796067237854004,"Node7C,Node3C,Node6C,Node5C,Node1C,Node2C,Node4C",,"Node7C,Node3C,Node6C,Node5C,Node1C,Node2C,Node4C"
