signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478191434858037,ATTRIB,1478191434.8586931,1478191437.8421009,2.983407735824585,"Node3C,Node2C,Node6C,Node5C,Node1C,Node4C,Node7C",,"Node5C,Node6C,Node7C,Node2C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478191435121045,ATTRIB,1478191435.1217546,1478191438.2643564,3.142601728439331,"Node4C,Node5C,Node7C,Node3C,Node1C,Node2C,Node6C",,"Node6C,Node2C,Node7C"
Client3,8B5QxS2eyKdbFJZCpGZRDs46V5QZrbTaJLQCAq48mCAC,1478191434890864,ATTRIB,1478191434.8915343,1478191438.4126017,3.5210673809051514,"Node6C,Node2C,Node5C,Node3C,Node7C,Node1C,Node4C",,"Node7C,Node5C,Node6C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478191435271767,ATTRIB,1478191435.272378,1478191439.0311513,3.7587733268737793,"Node1C,Node6C,Node3C,Node7C,Node2C,Node4C,Node5C",,"Node1C,Node6C,Node2C,Node4C,Node3C,Node5C,Node7C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478191435180507,ATTRIB,1478191435.1811252,1478191439.060621,3.879495859146118,"Node2C,Node7C,Node3C,Node5C,Node6C,Node4C,Node1C",,"Node2C,Node7C,Node1C,Node3C,Node5C,Node6C,Node4C"
Client6,Fyy1MPquqDrLc4LPdv2F3UHJEyFddkvdz67TLtHTqXL2,1478191435166774,ATTRIB,1478191435.1679983,1478191439.0623994,3.8944010734558105,"Node5C,Node3C,Node1C,Node4C,Node2C,Node6C,Node7C",,"Node2C,Node6C,Node4C,Node7C,Node5C,Node3C,Node1C"
Client7,CtK1fBYzZ6S6XMJhq7Uxf9Qj9AD9qUTUkReGxpZfKFW7,1478191434922906,ATTRIB,1478191434.9236202,1478191439.0757892,4.1521689891815186,"Node6C,Node1C,Node3C,Node4C,Node5C,Node7C,Node2C",,"Node3C,Node6C,Node4C,Node1C,Node7C,Node5C,Node2C"
Client1,4SKVLyRVzCJyGidzGsWuTQzR2qzcXumcHcVFqqhRLdEt,1478191435109820,ATTRIB,1478191435.11044,1478191439.2952487,4.184808731079102,"Node1C,Node4C,Node7C,Node2C,Node5C,Node3C,Node6C",,"Node6C,Node1C,Node7C,Node2C,Node4C,Node5C,Node3C"
Client4,Br9aFUaJZ7AtoUhC1gumGYa7fyzFrhdqUZbFoZs2yjkP,1478191437843806,ATTRIB,1478191437.8442225,1478191440.679824,2.835601568222046,"Node3C,Node2C,Node6C,Node5C,Node1C,Node4C,Node7C",,"Node3C,Node7C,Node5C,Node2C,Node6C,Node1C"
Client3,8B5QxS2eyKdbFJZCpGZRDs46V5QZrbTaJLQCAq48mCAC,1478191438413705,ATTRIB,1478191438.41415,1478191441.3260257,2.9118757247924805,"Node6C,Node2C,Node5C,Node3C,Node7C,Node1C,Node4C",,"Node7C,Node1C,Node6C,Node4C,Node2C,Node5C,Node3C"
Client9,841g6bVy9cDfCBMX1VJiFLBLQNPnFpjvQ97Bx4HUErsT,1478191438266996,ATTRIB,1478191438.2675679,1478191441.3351188,3.0675508975982666,"Node4C,Node5C,Node7C,Node3C,Node1C,Node2C,Node6C",,"Node5C,Node7C,Node4C,Node1C,Node2C,Node6C,Node3C"
Client8,5XrXYheVC2mnkgCg8exYnQ3Tju1eLTfq9wv6LJxPoRGj,1478191439032209,ATTRIB,1478191439.0327413,1478191441.5820227,2.549281358718872,"Node1C,Node6C,Node3C,Node7C,Node2C,Node4C,Node5C",,"Node1C,Node6C,Node2C,Node4C,Node5C,Node7C"
Client7,CtK1fBYzZ6S6XMJhq7Uxf9Qj9AD9qUTUkReGxpZfKFW7,1478191439076980,ATTRIB,1478191439.0776002,1478191441.7245288,2.646928548812866,"Node6C,Node1C,Node3C,Node4C,Node5C,Node7C,Node2C",,"Node6C,Node4C,Node5C,Node7C,Node1C,Node2C"
Client6,Fyy1MPquqDrLc4LPdv2F3UHJEyFddkvdz67TLtHTqXL2,1478191439063238,ATTRIB,1478191439.0636308,1478191441.7337387,2.670107841491699,"Node5C,Node3C,Node1C,Node4C,Node2C,Node6C,Node7C",,"Node2C,Node5C,Node1C,Node7C,Node6C,Node4C"
Client2,C2YBq1zmm8frh1kTj4iqLmc8hD6A9XgAwYQTQd2Tyxig,1478191439061432,ATTRIB,1478191439.06185,1478191441.7530475,2.691197395324707,"Node2C,Node7C,Node3C,Node5C,Node6C,Node4C,Node1C",,"Node2C,Node7C,Node1C,Node5C,Node6C,Node4C"
Client1,4SKVLyRVzCJyGidzGsWuTQzR2qzcXumcHcVFqqhRLdEt,1478191439296501,ATTRIB,1478191439.2970514,1478191442.0933566,2.7963051795959473,"Node1C,Node4C,Node7C,Node2C,Node5C,Node3C,Node6C",,"Node6C,Node1C,Node3C,Node7C,Node2C,Node5C,Node4C"
