signerName,signerId,reqId,transactionType,sentAt,quorumAt,latency,ackNodes,nackNodes,replyNodes
Claaaa5,36xFDCvKyJR1hLYShq2BptVfBUNbJ9JkZTVeQDWcrsVz,1478189213241743,ATTRIB,1478189213.2432704,,5.080170154571533,,,
Claaaa10,6Qyc1o5wowcCEBuFQeRk2dFo8vkLz3fh7Qk8Ex2ExpoR,1478189214043601,ATTRIB,1478189214.04456,,5.035798788070679,,,
Claaaa1,FySCX5Sr3t9fqhUQt4uuwWFAREqridpYDT2FGUuSUV9u,1478189214190257,ATTRIB,1478189214.1917133,,5.036963701248169,,,
Claaaa9,2zvD8jce4JcRmjMmjmXHpcuQenPVaSgDiHAeDJZUXB4o,1478189214202040,ATTRIB,1478189214.2059515,,5.042403936386108,,,
Claaaa4,FWiiw7CEZeA6jhooKD7vT23EdJQUC2oikJkunPsi2MVu,1478189214230916,ATTRIB,1478189214.2321522,,5.045932292938232,,,
Claaaa7,BXXbxdL3V4FzYVVLWNYjrGtyFquMyVda7zrQEPLZ5eex,1478189214294136,ATTRIB,1478189214.2949615,,5.035929203033447,,,
Claaaa6,CB4ZQwoDCKJyLStaUkV8Z6CX6Tb86MznoVhQbgUdy4b4,1478189215579272,ATTRIB,1478189215.580383,,5.046492576599121,,,
Claaaa2,9FtZrWbGvn7AGNvqbGqnVWZwmrY4AfX2Gj2EHZ9xdSVV,1478189215548062,ATTRIB,1478189215.5486805,,5.089173316955566,,,
Claaaa8,9XeZpmy2r5VevD1BDDDjxygbwx8xHxPtbPcruKi2cms1,1478189215620770,ATTRIB,1478189215.6219296,,5.036508083343506,,,
Claaaa3,6gQVDMNN6JWaMAb1neEQJ47Jhb6HwL3yXczLoyCg4Bt5,1478189215868999,ATTRIB,1478189215.8703287,,5.047011852264404,,,
Claaaa5,36xFDCvKyJR1hLYShq2BptVfBUNbJ9JkZTVeQDWcrsVz,1478189218325481,ATTRIB,1478189218.3262415,,5.052079200744629,,,
Claaaa10,6Qyc1o5wowcCEBuFQeRk2dFo8vkLz3fh7Qk8Ex2ExpoR,1478189219081847,ATTRIB,1478189219.0824,,5.054816246032715,,,
Claaaa1,FySCX5Sr3t9fqhUQt4uuwWFAREqridpYDT2FGUuSUV9u,1478189219229692,ATTRIB,1478189219.2301638,,5.038494825363159,,,
Claaaa9,2zvD8jce4JcRmjMmjmXHpcuQenPVaSgDiHAeDJZUXB4o,1478189219249585,ATTRIB,1478189219.250106,,5.044490575790405,,,
Claaaa4,FWiiw7CEZeA6jhooKD7vT23EdJQUC2oikJkunPsi2MVu,1478189219279267,ATTRIB,1478189219.2796974,,5.039315462112427,,,
Claaaa7,BXXbxdL3V4FzYVVLWNYjrGtyFquMyVda7zrQEPLZ5eex,1478189219332340,ATTRIB,1478189219.3328621,,5.071848154067993,,,
Claaaa2,9FtZrWbGvn7AGNvqbGqnVWZwmrY4AfX2Gj2EHZ9xdSVV,1478189220638593,ATTRIB,1478189220.6388783,,5.033209800720215,,,
Claaaa6,CB4ZQwoDCKJyLStaUkV8Z6CX6Tb86MznoVhQbgUdy4b4,1478189220628352,ATTRIB,1478189220.6288733,,5.043214797973633,,,
Claaaa8,9XeZpmy2r5VevD1BDDDjxygbwx8xHxPtbPcruKi2cms1,1478189220660050,ATTRIB,1478189220.6607509,,5.040231704711914,,,
Claaaa3,6gQVDMNN6JWaMAb1neEQJ47Jhb6HwL3yXczLoyCg4Bt5,1478189220918283,ATTRIB,1478189220.9186435,,5.033863544464111,,,
